name,sell_price,sell_listings
Armor of the Haunted Lord,$0.14,106
Armor of the Hunter,$0.03,1010
Armor of the Hunter's Glory,$0.10,119
Armor of the Icewrack Marauder,$0.31,72
Armor of the Imperious Command,$0.18,247
Armor of the Iron Clock Knight,$4.38,19
Armor of the Jade General,$0.25,71
Armor of the Lionsguard,$0.17,30
Armor of the Loyal Fold,$11.06,23
Armor of the Lucent Gate,$0.03,1760
Armor of the Mage Slayer,$0.03,575
Armor of the Maniacal Machinist,$0.03,430
Armor of the Manticore,$0.04,232
Armor of the Maze Keeper,$0.59,35
Armor of the Mechanised Pilgrim,$0.03,420
Armor of the Moonlit Thicket,$3.16,16
Armor of the Moonlit Thicket Loading Screen,$0.03,75
Armor of the Mothbinder,$0.04,259
Armor of the Narcissistic Leech,$0.19,50
Armor of the Narrow Fates,$0.12,125
Armor of the Northern Shore,$0.09,147
Armor of the Onyx Lotus,$0.04,185
Armor of the Outland Ravager,$0.78,14
Armor of the Progenitor's Gaze,$0.04,150
Armor of the Proven,$0.04,248
Armor of the Purist Champion,$0.03,162
Armor of the Purist Champion Set,$20.72,5
Armor of the Radiant Crusader,$0.03,198
Armor of the Raidforged Rider,$0.32,37
Armor of the Revenant,$0.38,26
Armor of the Sanguine Moon Set,$0.08,145
Armor of the Savage Monger,$2.10,39
Armor of the Shambling Draug,$0.55,30
Armor of the Shattered Vanguard,$13.45,13
Armor of the Shattered Vanguard Loading Screen,$0.04,192
Armor of the Slithereen Exile,$0.03,294
Armor of the Snowpack Savage,$0.05,110
Armor of the Spiteful Djinn,$0.16,56
Armor of the Stalwart Soul,$0.58,87
Armor of the Storm Dragon Potente,$0.15,187
Armor of the Stumpgrinder,$0.04,156
Armor of the Sundered King,$0.05,301
Armor of the Tentacular Timelord,$0.03,830
Armor of the Timekeeper,$0.58,27
Armor of the Trailblazer,$0.06,53
Armor of the Tree Punisher,$0.03,1041
Armor of the Twin Blades,$0.05,202
Armor of the Twisted Arc,$0.03,594
Armor of the Umbral Descent,$0.07,60
Armor of the Unbroken Stallion,$0.03,936
Armor of the Undying Light,$0.04,97
Armor of the Warbringer,$0.04,134
Armor of the Weathered Storm,$0.04,171
Armor of the Winged Harvest,$0.12,50
Armor of the Winged Sentinel,$0.48,106
Armor of the Winter Rose,$0.46,151
Armor of the Witch Hunter,$0.03,1884
Armor of the World Splitter,$0.03,1662
Armor of the Wrathful Annihilator,$0.05,96
Armor of the Wuxia,$0.04,208
Armor of the Year Beast,$0.07,264
Armor of Thunderwrath's Calling,$0.03,900
Armor of Twisted Maelstrom,$7.54,46
Armor of Twisted Wisdom,$0.03,334
Armor of Unblinking Eternity,$0.08,93
Armor of Utter Eradication,$0.03,858
Armor of Vile Reliquary,$3.92,56
Armor of Zhuzhou,$0.18,103
Armored Exoskeleton Arms,$0.03,956
Armored Exoskeleton Back,$0.03,772
Armored Exoskeleton Legs,$0.03,866
Armored Exoskeleton Set,$0.04,127
Armored Exoskeleton Wings,$0.03,361
Armory Expander,$1.10,141
Armour of the Exiled Ronin,$0.06,235
Armour of The Iron Drakken,$0.15,118
Armplates of the Thunder Ram,$0.03,445
Arms of Burning Turmoil Set,$0.16,64
Arms of Deep Magma,$0.03,1560
Arms of Desolation,$4.10,197
Arms of Dormant Oblivion,$0.10,143
Arms of Eldritch Gnarl,$0.03,972
Arms of Eternal Fire,$0.03,1425
Arms of Eternal Reign,$0.03,1998
